N, WxH, Clock, Param0, Param1, Param2
17, 160x160, 6595200, 0.1, 0.2, 3, asm1
18, 160x160, 5370415, 0.1, 0.2, 3, asm1
19, 160x160, 4090485, 0.1, 0.2, 3, asm1
20, 160x160, 5213554, 0.1, 0.2, 3, asm1
21, 160x160, 5220709, 0.1, 0.2, 3, asm1
22, 160x160, 5240537, 0.1, 0.2, 3, asm1
23, 160x160, 5228887, 0.1, 0.2, 3, asm1
24, 160x160, 4053570, 0.1, 0.2, 3, asm1
25, 160x160, 5671296, 0.1, 0.2, 3, asm1
26, 160x160, 4028315, 0.1, 0.2, 3, asm1
27, 160x160, 4124590, 0.1, 0.2, 3, asm1
28, 160x160, 6317990, 0.1, 0.2, 3, asm1
29, 160x160, 4047700, 0.1, 0.2, 3, asm1
30, 160x160, 7902531, 0.1, 0.2, 3, asm1
31, 160x160, 4052209, 0.1, 0.2, 3, asm1
32, 160x160, 4197211, 0.1, 0.2, 3, asm1
33, 160x160, 4025861, 0.1, 0.2, 3, asm1
34, 160x160, 4168028, 0.1, 0.2, 3, asm1
35, 160x160, 5232880, 0.1, 0.2, 3, asm1
36, 160x160, 4094473, 0.1, 0.2, 3, asm1
37, 160x160, 5899080, 0.1, 0.2, 3, asm1
38, 160x160, 4059388, 0.1, 0.2, 3, asm1
39, 160x160, 4093791, 0.1, 0.2, 3, asm1
40, 160x160, 4108097, 0.1, 0.2, 3, asm1
41, 160x160, 4307691, 0.1, 0.2, 3, asm1
42, 160x160, 5222509, 0.1, 0.2, 3, asm1
43, 160x160, 6061264, 0.1, 0.2, 3, asm1
44, 160x160, 5203850, 0.1, 0.2, 3, asm1
45, 160x160, 5202941, 0.1, 0.2, 3, asm1
46, 160x160, 4305730, 0.1, 0.2, 3, asm1
47, 160x160, 6592385, 0.1, 0.2, 3, asm1
48, 160x160, 5221634, 0.1, 0.2, 3, asm1
49, 160x160, 4319967, 0.1, 0.2, 3, asm1
50, 160x160, 7383115, 0.1, 0.2, 3, asm1
51, 160x160, 4331651, 0.1, 0.2, 3, asm1
52, 160x160, 4046418, 0.1, 0.2, 3, asm1
53, 160x160, 6287386, 0.1, 0.2, 3, asm1
54, 160x160, 5204383, 0.1, 0.2, 3, asm1
55, 160x160, 6327085, 0.1, 0.2, 3, asm1
56, 160x160, 5236463, 0.1, 0.2, 3, asm1
57, 160x160, 4117725, 0.1, 0.2, 3, asm1
58, 160x160, 7026515, 0.1, 0.2, 3, asm1
59, 160x160, 4048618, 0.1, 0.2, 3, asm1
60, 160x160, 6607680, 0.1, 0.2, 3, asm1
61, 160x160, 4048991, 0.1, 0.2, 3, asm1
62, 160x160, 5230425, 0.1, 0.2, 3, asm1
63, 160x160, 6981625, 0.1, 0.2, 3, asm1
64, 160x160, 4053679, 0.1, 0.2, 3, asm1
65, 160x160, 7892775, 0.1, 0.2, 3, asm1
