N, WxH, Clock, Param0, Param1, Param2
17, 288x288, 14121916, 30.0, 1.0, 0.1
17, 288x288, 11084303, 30.0, 1.0, 0.1
17, 288x288, 11606799, 30.0, 1.0, 0.1
17, 288x288, 17865249, 30.0, 1.0, 0.1
17, 288x288, 14151470, 30.0, 1.0, 0.1
17, 288x288, 12361740, 30.0, 1.0, 0.1
17, 288x288, 14393956, 30.0, 1.0, 0.1
17, 288x288, 18465978, 30.0, 1.0, 0.1
18, 304x304, 18247148, 30.0, 1.0, 0.1
18, 304x304, 17163920, 30.0, 1.0, 0.1
18, 304x304, 20052696, 30.0, 1.0, 0.1
18, 304x304, 19866023, 30.0, 1.0, 0.1
18, 304x304, 13645912, 30.0, 1.0, 0.1
18, 304x304, 15507443, 30.0, 1.0, 0.1
18, 304x304, 17365241, 30.0, 1.0, 0.1
18, 304x304, 12868704, 30.0, 1.0, 0.1
18, 304x304, 20738575, 30.0, 1.0, 0.1
18, 304x304, 13862044, 30.0, 1.0, 0.1
19, 320x320, 14015372, 30.0, 1.0, 0.1
19, 320x320, 14272960, 30.0, 1.0, 0.1
19, 320x320, 14253458, 30.0, 1.0, 0.1
19, 320x320, 13926193, 30.0, 1.0, 0.1
19, 320x320, 14555579, 30.0, 1.0, 0.1
19, 320x320, 17644400, 30.0, 1.0, 0.1
19, 320x320, 15323688, 30.0, 1.0, 0.1
19, 320x320, 18818096, 30.0, 1.0, 0.1
19, 320x320, 20772510, 30.0, 1.0, 0.1
19, 320x320, 14192829, 30.0, 1.0, 0.1
