N, WxH, Clock, Param0, Param1, Param2
12, 208x208, 9852510, 30.0, 1.0, 0.1
13, 224x224, 5518134, 30.0, 1.0, 0.1
13, 224x224, 5587064, 30.0, 1.0, 0.1
13, 224x224, 5219745, 30.0, 1.0, 0.1
13, 224x224, 5538179, 30.0, 1.0, 0.1
13, 224x224, 8331252, 30.0, 1.0, 0.1
13, 224x224, 5351057, 30.0, 1.0, 0.1
13, 224x224, 5690648, 30.0, 1.0, 0.1
13, 224x224, 8682376, 30.0, 1.0, 0.1
13, 224x224, 9345795, 30.0, 1.0, 0.1
13, 224x224, 5705955, 30.0, 1.0, 0.1
14, 240x240, 9198149, 30.0, 1.0, 0.1
14, 240x240, 7796813, 30.0, 1.0, 0.1
14, 240x240, 7306338, 30.0, 1.0, 0.1
14, 240x240, 9829010, 30.0, 1.0, 0.1
14, 240x240, 6496215, 30.0, 1.0, 0.1
14, 240x240, 8988529, 30.0, 1.0, 0.1
14, 240x240, 6669079, 30.0, 1.0, 0.1
14, 240x240, 8140910, 30.0, 1.0, 0.1
14, 240x240, 7619365, 30.0, 1.0, 0.1
14, 240x240, 9272062, 30.0, 1.0, 0.1
15, 256x256, 11799610, 30.0, 1.0, 0.1
15, 256x256, 10874156, 30.0, 1.0, 0.1
15, 256x256, 8252598, 30.0, 1.0, 0.1
15, 256x256, 10585916, 30.0, 1.0, 0.1
15, 256x256, 7721803, 30.0, 1.0, 0.1
15, 256x256, 7220473, 30.0, 1.0, 0.1
15, 256x256, 10051995, 30.0, 1.0, 0.1
15, 256x256, 12119408, 30.0, 1.0, 0.1
15, 256x256, 6873677, 30.0, 1.0, 0.1
15, 256x256, 8693665, 30.0, 1.0, 0.1
16, 272x272, 10961121, 30.0, 1.0, 0.1
16, 272x272, 8417421, 30.0, 1.0, 0.1
16, 272x272, 11239500, 30.0, 1.0, 0.1
16, 272x272, 8213249, 30.0, 1.0, 0.1
16, 272x272, 9747223, 30.0, 1.0, 0.1
16, 272x272, 9588006, 30.0, 1.0, 0.1
16, 272x272, 8890588, 30.0, 1.0, 0.1
16, 272x272, 8657391, 30.0, 1.0, 0.1
16, 272x272, 9552404, 30.0, 1.0, 0.1
16, 272x272, 11292788, 30.0, 1.0, 0.1
17, 288x288, 12135263, 30.0, 1.0, 0.1
17, 288x288, 9106586, 30.0, 1.0, 0.1
17, 288x288, 12111235, 30.0, 1.0, 0.1
17, 288x288, 9191016, 30.0, 1.0, 0.1
17, 288x288, 12819034, 30.0, 1.0, 0.1
17, 288x288, 17944375, 30.0, 1.0, 0.1
17, 288x288, 15666775, 30.0, 1.0, 0.1
17, 288x288, 9375063, 30.0, 1.0, 0.1
17, 288x288, 10689651, 30.0, 1.0, 0.1
17, 288x288, 9428750, 30.0, 1.0, 0.1
18, 304x304, 13095776, 30.0, 1.0, 0.1
18, 304x304, 11684817, 30.0, 1.0, 0.1
18, 304x304, 14266000, 30.0, 1.0, 0.1
18, 304x304, 15334278, 30.0, 1.0, 0.1
18, 304x304, 13989469, 30.0, 1.0, 0.1
18, 304x304, 19798653, 30.0, 1.0, 0.1
18, 304x304, 13051603, 30.0, 1.0, 0.1
18, 304x304, 10455626, 30.0, 1.0, 0.1
18, 304x304, 10110413, 30.0, 1.0, 0.1
18, 304x304, 11974429, 30.0, 1.0, 0.1
19, 320x320, 15697652, 30.0, 1.0, 0.1
19, 320x320, 21142121, 30.0, 1.0, 0.1
19, 320x320, 16445480, 30.0, 1.0, 0.1
19, 320x320, 13352551, 30.0, 1.0, 0.1
19, 320x320, 11147274, 30.0, 1.0, 0.1
19, 320x320, 15305384, 30.0, 1.0, 0.1
19, 320x320, 15831761, 30.0, 1.0, 0.1
19, 320x320, 16976571, 30.0, 1.0, 0.1
19, 320x320, 16491977, 30.0, 1.0, 0.1
19, 320x320, 14130055, 30.0, 1.0, 0.1
