N,Size,Min,Max,Sum,Average
0, 16x16,6300,22534,875412,8754
1, 32x32,12412,35065,1741836,17418
2, 48x48,23082,60300,3279258,32792
3, 64x64,37303,109687,4977677,49776
4, 80x80,56167,146259,7669132,76691
5, 96x96,86521,224258,11492669,114926
6, 112x112,105369,376780,14237296,142372
7, 128x128,136779,321695,17795584,177955
8, 144x144,174625,894167,24792020,247920
9, 160x160,224570,595850,28993396,289933
10, 176x176,257409,932415,34886045,348860
11, 192x192,301688,799492,41641025,416410
12, 208x208,370239,913140,45496246,454962
13, 224x224,411927,1664800,54264804,542648
14, 240x240,477443,1583094,64195804,641958
15, 256x256,535409,1405533,70675707,706757
16, 272x272,609654,1720596,70792699,707926
17, 288x288,681166,1426714,80175520,801755
18, 304x304,768309,1777185,94065869,940658
19, 320x320,834494,1757806,97395741,973957
