N,Size,Min,Max,Sum,Average
0, 16x16,5988,16606,887352,8873
1, 32x32,13646,80606,2167807,21678
2, 48x48,27494,95192,4167611,41676
3, 64x64,45885,150437,7025090,70250
4, 80x80,68421,279992,10520000,105200
5, 96x96,108700,579312,15848669,158486
6, 112x112,130194,378976,19398607,193986
7, 128x128,168139,833460,26881340,268813
8, 144x144,216333,736245,34155603,341556
9, 160x160,282651,1755779,42839160,428391
10, 176x176,317782,909413,46405762,464057
11, 192x192,376816,1062667,54508528,545085
12, 208x208,467137,1367200,65619739,656197
13, 224x224,509197,1462104,70266445,702664
14, 240x240,585221,1564397,81918675,819186
15, 256x256,661154,1880500,99144446,991444
16, 272x272,750694,5018233,113636828,1136368
17, 288x288,837052,2153815,121558837,1215588
18, 304x304,931866,3291953,130665363,1306653
19, 320x320,1026936,2612445,131805526,1318055
