N,Size,Min,Max,Sum,Average
0, 16x16,41400,84430,543712,54371
1, 32x32,157636,406442,2220796,222079
2, 48x48,375700,908259,5542930,554293
3, 64x64,635521,1609425,9050866,905086
4, 80x80,1041895,1677764,13470352,1347035
5, 96x96,1403009,2285355,17595430,1759543
6, 112x112,1980689,3463750,27618382,2761838
7, 128x128,2589286,3740584,32023477,3202347
8, 144x144,3341544,6026597,40854955,4085495
9, 160x160,3883766,8091465,49057919,4905791
10, 176x176,5065482,9280437,63889072,6388907
11, 192x192,5735136,8769970,68699779,6869977
12, 208x208,7027275,9631418,81490425,8149042
13, 224x224,8465473,11924872,99989983,9998998
14, 240x240,8932012,14761783,120702375,12070237
15, 256x256,11387431,16997724,138700726,13870072
16, 272x272,12200824,17400887,148084662,14808466
17, 288x288,13347984,20473059,163190060,16319006
18, 304x304,14924293,23574500,193351677,19335167
19, 320x320,16519899,27476082,224661370,22466137
