N,Size,Min,Max,Sum,Average
0, 16x16,2712,2712,2712,2712
1, 32x32,5885,5885,5885,5885
2, 48x48,15390,15390,15390,15390
3, 64x64,14927,14927,14927,14927
4, 80x80,34308,34308,34308,34308
5, 96x96,35564,35564,35564,35564
6, 112x112,49567,49567,49567,49567
7, 128x128,97951,97951,97951,97951
8, 144x144,121897,121897,121897,121897
9, 160x160,99021,99021,99021,99021
10, 176x176,172320,172320,172320,172320
11, 192x192,223032,223032,223032,223032
12, 208x208,276773,276773,276773,276773
13, 224x224,253525,253525,253525,253525
14, 240x240,290591,290591,290591,290591
15, 256x256,474422,474422,474422,474422
16, 272x272,945624,945624,945624,945624
17, 288x288,329664,329664,329664,329664
18, 304x304,590350,590350,590350,590350
19, 320x320,595321,595321,595321,595321
