N,Size,Min,Max,Sum,Average
0, 16x16,15780,15780,15780,15780
1, 16x16,8528,8528,8528,8528
2, 32x32,15970,15970,15970,15970
3, 48x48,29745,29745,29745,29745
4, 64x64,46572,46572,46572,46572
5, 80x80,68528,68528,68528,68528
6, 96x96,95764,95764,95764,95764
7, 112x112,169880,169880,169880,169880
8, 128x128,165050,165050,165050,165050
9, 144x144,213834,213834,213834,213834
10, 160x160,293742,293742,293742,293742
11, 176x176,344303,344303,344303,344303
12, 192x192,406964,406964,406964,406964
13, 208x208,467277,467277,467277,467277
14, 224x224,583520,583520,583520,583520
15, 240x240,623174,623174,623174,623174
16, 256x256,696317,696317,696317,696317
17, 272x272,734038,734038,734038,734038
18, 288x288,849317,849317,849317,849317
19, 304x304,941117,941117,941117,941117
20, 320x320,1042590,1042590,1042590,1042590
21, 336x336,1145213,1145213,1145213,1145213
22, 352x352,1512926,1512926,1512926,1512926
23, 368x368,1595589,1595589,1595589,1595589
24, 384x384,1478018,1478018,1478018,1478018
25, 400x400,872253,872253,872253,872253
26, 416x416,2338933,2338933,2338933,2338933
27, 432x432,1931086,1931086,1931086,1931086
28, 448x448,2048203,2048203,2048203,2048203
29, 464x464,2554966,2554966,2554966,2554966
30, 480x480,2507378,2507378,2507378,2507378
31, 496x496,2418700,2418700,2418700,2418700
32, 512x512,2645955,2645955,2645955,2645955
33, 528x528,2086132,2086132,2086132,2086132
34, 544x544,3056045,3056045,3056045,3056045
35, 560x560,3183572,3183572,3183572,3183572
36, 576x576,3535899,3535899,3535899,3535899
37, 592x592,3529699,3529699,3529699,3529699
38, 608x608,3679019,3679019,3679019,3679019
39, 624x624,3871247,3871247,3871247,3871247
40, 640x640,4400196,4400196,4400196,4400196
41, 656x656,4025460,4025460,4025460,4025460
42, 672x672,4647546,4647546,4647546,4647546
43, 688x688,4143197,4143197,4143197,4143197
44, 704x704,5293363,5293363,5293363,5293363
45, 720x720,5289917,5289917,5289917,5289917
46, 736x736,5227052,5227052,5227052,5227052
47, 752x752,6025167,6025167,6025167,6025167
48, 768x768,6290067,6290067,6290067,6290067
49, 784x784,6315060,6315060,6315060,6315060
50, 800x800,6625824,6625824,6625824,6625824
51, 816x816,7834243,7834243,7834243,7834243
52, 832x832,9200913,9200913,9200913,9200913
53, 848x848,7408851,7408851,7408851,7408851
54, 864x864,8859583,8859583,8859583,8859583
55, 880x880,8496858,8496858,8496858,8496858
56, 896x896,8316594,8316594,8316594,8316594
57, 912x912,7851802,7851802,7851802,7851802
58, 928x928,8579005,8579005,8579005,8579005
59, 944x944,11939482,11939482,11939482,11939482
60, 960x960,9267086,9267086,9267086,9267086
61, 976x976,9965718,9965718,9965718,9965718
62, 992x992,13326154,13326154,13326154,13326154
63, 1008x1008,11402057,11402057,11402057,11402057
64, 1024x1024,12264323,12264323,12264323,12264323
65, 1040x1040,11144512,11144512,11144512,11144512
66, 1056x1056,11870694,11870694,11870694,11870694
67, 1072x1072,22246571,22246571,22246571,22246571
68, 1088x1088,12226241,12226241,12226241,12226241
69, 1104x1104,12391476,12391476,12391476,12391476
70, 1120x1120,13165621,13165621,13165621,13165621
71, 1136x1136,16051790,16051790,16051790,16051790
72, 1152x1152,15799003,15799003,15799003,15799003
73, 1168x1168,15536069,15536069,15536069,15536069
74, 1184x1184,15450386,15450386,15450386,15450386
75, 1200x1200,17388375,17388375,17388375,17388375
76, 1216x1216,15074822,15074822,15074822,15074822
77, 1232x1232,16129103,16129103,16129103,16129103
78, 1248x1248,17288643,17288643,17288643,17288643
79, 1264x1264,18676598,18676598,18676598,18676598
80, 1280x1280,17197370,17197370,17197370,17197370
81, 1296x1296,18092186,18092186,18092186,18092186
82, 1312x1312,20617271,20617271,20617271,20617271
83, 1328x1328,18733533,18733533,18733533,18733533
84, 1344x1344,18232231,18232231,18232231,18232231
85, 1360x1360,19618039,19618039,19618039,19618039
86, 1376x1376,18062380,18062380,18062380,18062380
87, 1392x1392,19139525,19139525,19139525,19139525
88, 1408x1408,25332243,25332243,25332243,25332243
89, 1424x1424,19743142,19743142,19743142,19743142
90, 1440x1440,22032897,22032897,22032897,22032897
91, 1456x1456,22219019,22219019,22219019,22219019
92, 1472x1472,24123839,24123839,24123839,24123839
93, 1488x1488,25723300,25723300,25723300,25723300
94, 1504x1504,22454778,22454778,22454778,22454778
95, 1520x1520,25421857,25421857,25421857,25421857
96, 1536x1536,24518004,24518004,24518004,24518004
97, 1552x1552,26152312,26152312,26152312,26152312
98, 1568x1568,26046229,26046229,26046229,26046229
99, 1584x1584,26262794,26262794,26262794,26262794
100, 1600x1600,26146651,26146651,26146651,26146651
