N,Size,Min,Max,Sum,Average
0, 16x16,38346,98700,540997,54099
1, 32x32,146255,258784,1735755,173575
2, 48x48,326088,630665,4078208,407820
3, 64x64,577303,813208,6626036,662603
4, 80x80,900642,1630860,10563219,1056321
5, 96x96,1439303,3091947,21204136,2120413
6, 112x112,1763027,2788672,20770624,2077062
7, 128x128,2451393,3831620,29884813,2988481
8, 144x144,2921228,4991425,36067855,3606785
9, 160x160,3597582,5505298,45947778,4594777
10, 176x176,4653636,8555976,60733800,6073380
11, 192x192,5557358,11713343,78219718,7821971
12, 208x208,6730124,10898719,84107433,8410743
13, 224x224,7634841,13141035,97419369,9741936
14, 240x240,8613843,14323830,108965561,10896556
15, 256x256,10284794,19616249,128687836,12868783
16, 272x272,10750576,18156282,138024014,13802401
17, 288x288,11977486,17709442,151595482,15159548
18, 304x304,15278835,24904829,185518123,18551812
19, 320x320,15889497,23327514,187309092,18730909
