N,Size,Min,Max,Sum,Average,Implementation
100, 160x160,2847491,7429637,388870220,3888702, c
100, 164x160,2686736,6977283,356207289,3562072, c
100, 160x160,2486179,6525617,346762475,3467624, c
100, 164x160,2462157,6434383,348093360,3480933, c
100, 160x160,2327830,6171200,322162415,3221624, c
