N,Size,Min,Max,Sum,Average
0, 16x16,33866,86625,495726,49572
1, 32x32,142155,342500,2169283,216928
2, 48x48,321664,513645,3835765,383576
3, 64x64,570785,1099652,7589016,758901
4, 80x80,857996,1795252,11529399,1152939
5, 96x96,1198751,2500170,15579824,1557982
6, 112x112,1631118,2691342,20686871,2068687
7, 128x128,2277454,4874792,31916332,3191633
8, 144x144,2703564,5711668,39374794,3937479
9, 160x160,3409605,8723817,48491841,4849184
10, 176x176,4008524,8968158,57211968,5721196
11, 192x192,5122024,10843173,68036737,6803673
12, 208x208,6023576,9657900,72998489,7299848
13, 224x224,6490976,10274935,81587325,8158732
14, 240x240,8078345,11552734,101168028,10116802
15, 256x256,8985769,15323495,121105243,12110524
16, 272x272,10428904,17466925,125549098,12554909
17, 288x288,11084303,18465978,138993264,13899326
18, 304x304,12868704,20738575,169317706,16931770
19, 320x320,13926193,20772510,157775085,15777508
