N,Size,Min,Max,Sum,Average,Implementation
100, 160x160,4021451,8917414,527838302,5278383, asm1
100, 164x160,3962842,10304225,518429678,5184296, asm1
100, 160x160,3883209,10184925,558159045,5581590, asm1
100, 164x160,3595294,9373791,512308867,5123088, asm1
100, 160x160,3481303,9083059,485913446,4859134, asm1
