N,Size,Min,Max,Sum,Average,Implementation
100, 160x160,2850567,6476725,367955921,3679559, c
100, 160x160,4025861,8054512,511305374,5113053, asm1
100, 160x160,3312042,7366493,435874984,4358749, asm2
