N,Size,Min,Max,Sum,Average
0, 16x16,12849,12849,12849,12849
1, 16x16,18844,18844,18844,18844
2, 32x32,27179,27179,27179,27179
3, 48x48,35307,35307,35307,35307
4, 64x64,56160,56160,56160,56160
5, 80x80,81888,81888,81888,81888
6, 96x96,167229,167229,167229,167229
7, 112x112,194130,194130,194130,194130
8, 128x128,191201,191201,191201,191201
9, 144x144,247467,247467,247467,247467
10, 160x160,320944,320944,320944,320944
11, 176x176,366926,366926,366926,366926
12, 192x192,476815,476815,476815,476815
13, 208x208,570863,570863,570863,570863
14, 224x224,594725,594725,594725,594725
15, 240x240,711694,711694,711694,711694
16, 256x256,866057,866057,866057,866057
17, 272x272,954153,954153,954153,954153
18, 288x288,998220,998220,998220,998220
19, 304x304,1115962,1115962,1115962,1115962
20, 320x320,1233675,1233675,1233675,1233675
21, 336x336,1352236,1352236,1352236,1352236
22, 352x352,1476488,1476488,1476488,1476488
23, 368x368,1669503,1669503,1669503,1669503
24, 384x384,1989523,1989523,1989523,1989523
25, 400x400,2241361,2241361,2241361,2241361
26, 416x416,2095419,2095419,2095419,2095419
27, 432x432,4081039,4081039,4081039,4081039
28, 448x448,2759099,2759099,2759099,2759099
29, 464x464,2615318,2615318,2615318,2615318
30, 480x480,2813899,2813899,2813899,2813899
31, 496x496,3374967,3374967,3374967,3374967
32, 512x512,3475653,3475653,3475653,3475653
33, 528x528,4001434,4001434,4001434,4001434
34, 544x544,3576637,3576637,3576637,3576637
35, 560x560,3751517,3751517,3751517,3751517
36, 576x576,4324834,4324834,4324834,4324834
37, 592x592,4294973,4294973,4294973,4294973
38, 608x608,4446630,4446630,4446630,4446630
39, 624x624,3690412,3690412,3690412,3690412
40, 640x640,5035000,5035000,5035000,5035000
41, 656x656,5209994,5209994,5209994,5209994
42, 672x672,7646694,7646694,7646694,7646694
43, 688x688,4911470,4911470,4911470,4911470
44, 704x704,6037087,6037087,6037087,6037087
45, 720x720,6813150,6813150,6813150,6813150
46, 736x736,5990641,5990641,5990641,5990641
47, 752x752,7087912,7087912,7087912,7087912
48, 768x768,7883420,7883420,7883420,7883420
49, 784x784,17362819,17362819,17362819,17362819
50, 800x800,8559390,8559390,8559390,8559390
51, 816x816,8405401,8405401,8405401,8405401
52, 832x832,8357650,8357650,8357650,8357650
53, 848x848,9281473,9281473,9281473,9281473
54, 864x864,9134571,9134571,9134571,9134571
55, 880x880,11061059,11061059,11061059,11061059
56, 896x896,11533186,11533186,11533186,11533186
57, 912x912,11726334,11726334,11726334,11726334
58, 928x928,11287559,11287559,11287559,11287559
59, 944x944,11480990,11480990,11480990,11480990
60, 960x960,14207555,14207555,14207555,14207555
61, 976x976,12743465,12743465,12743465,12743465
62, 992x992,10867088,10867088,10867088,10867088
63, 1008x1008,14604903,14604903,14604903,14604903
64, 1024x1024,16751166,16751166,16751166,16751166
65, 1040x1040,11799041,11799041,11799041,11799041
66, 1056x1056,26781071,26781071,26781071,26781071
67, 1072x1072,15756334,15756334,15756334,15756334
68, 1088x1088,15136952,15136952,15136952,15136952
69, 1104x1104,15872754,15872754,15872754,15872754
70, 1120x1120,17868791,17868791,17868791,17868791
71, 1136x1136,22397563,22397563,22397563,22397563
72, 1152x1152,19447899,19447899,19447899,19447899
73, 1168x1168,16523955,16523955,16523955,16523955
74, 1184x1184,31141331,31141331,31141331,31141331
75, 1200x1200,18875056,18875056,18875056,18875056
76, 1216x1216,22767605,22767605,22767605,22767605
77, 1232x1232,20403693,20403693,20403693,20403693
78, 1248x1248,20387276,20387276,20387276,20387276
79, 1264x1264,21249077,21249077,21249077,21249077
80, 1280x1280,19871283,19871283,19871283,19871283
81, 1296x1296,22757726,22757726,22757726,22757726
82, 1312x1312,23569232,23569232,23569232,23569232
83, 1328x1328,23561983,23561983,23561983,23561983
84, 1344x1344,25921932,25921932,25921932,25921932
85, 1360x1360,23572329,23572329,23572329,23572329
86, 1376x1376,25979805,25979805,25979805,25979805
87, 1392x1392,23102141,23102141,23102141,23102141
88, 1408x1408,26895581,26895581,26895581,26895581
89, 1424x1424,25702314,25702314,25702314,25702314
90, 1440x1440,37039446,37039446,37039446,37039446
91, 1456x1456,30765025,30765025,30765025,30765025
92, 1472x1472,26764235,26764235,26764235,26764235
93, 1488x1488,51886837,51886837,51886837,51886837
94, 1504x1504,27604992,27604992,27604992,27604992
95, 1520x1520,31864996,31864996,31864996,31864996
96, 1536x1536,31109886,31109886,31109886,31109886
97, 1552x1552,28987498,28987498,28987498,28987498
98, 1568x1568,30405780,30405780,30405780,30405780
99, 1584x1584,29938201,29938201,29938201,29938201
100, 1600x1600,32618280,32618280,32618280,32618280
