N,Size,Min,Max,Sum,Average
0, 16x16,46575,136648,642160,64216
1, 32x32,166570,463235,2537608,253760
2, 48x48,372342,960675,5029173,502917
3, 64x64,706373,1204575,9070590,907059
4, 80x80,1029781,2680717,14111772,1411177
5, 96x96,1482060,3113922,18140197,1814019
6, 112x112,2014181,3819955,26950642,2695064
7, 128x128,2774121,6623241,37995214,3799521
8, 144x144,3561038,8030008,47731359,4773135
9, 160x160,4204546,6899488,53233976,5323397
10, 176x176,5091074,8705989,64833082,6483308
11, 192x192,5976100,9807070,74038552,7403855
12, 208x208,7376770,10467648,85880583,8588058
13, 224x224,8220380,14067875,110074610,11007461
14, 240x240,9811220,14535366,118605809,11860580
15, 256x256,11042629,17939758,136142797,13614279
16, 272x272,12418014,20539830,170944060,17094406
17, 288x288,14176534,20418307,164966323,16496632
18, 304x304,15900297,23552340,197323682,19732368
19, 320x320,18237151,23827249,211531382,21153138
