N,Size,Min,Max,Sum,Average,Implementation
100, 160x160,3311391,8678433,449905413,4499054, asm2
100, 164x160,3316552,8669117,442749031,4427490, asm2
100, 160x160,3279658,8621166,461842824,4618428, asm2
100, 164x160,3279930,8619400,450450895,4504508, asm2
100, 160x160,3279685,8594350,463361817,4633618, asm2
