N,Size,Min,Max,Sum,Average,Implementation
100, 160x160,151728,395975,19397352,193973, asm1
100, 160x160,211391,546642,27739343,277393, asm1
100, 160x160,92648,205300,11508021,115080, asm2
100, 160x160,91260,180250,11064455,110644, asm2
