N,Size,Min,Max,Sum,Average
0, 16x16,35721,60550,443396,44339
1, 32x32,141255,214895,1645861,164586
2, 48x48,297479,637415,3734374,373437
3, 64x64,524809,1468642,7527657,752765
4, 80x80,824730,1521364,11290063,1129006
5, 96x96,1230321,1755568,14755986,1475598
6, 112x112,1800994,3629324,24212152,2421215
7, 128x128,2252591,4247800,29132850,2913285
8, 144x144,2666291,4271418,34281374,3428137
9, 160x160,3569127,6556250,45000460,4500046
10, 176x176,3980245,6503912,48215966,4821596
11, 192x192,5023484,8137720,61830123,6183012
12, 208x208,6024685,8343492,71733756,7173375
13, 224x224,6962906,11391469,83661271,8366127
14, 240x240,7768202,13439406,93679431,9367943
15, 256x256,8449806,16708962,120375157,12037515
16, 272x272,9758107,14497871,120592239,12059223
17, 288x288,10942658,18278840,132232563,13223256
18, 304x304,13117409,20094652,159834369,15983436
19, 320x320,13589366,19566880,167327634,16732763
