N,Size,Min,Max,Sum,Average
0, 16x16,4011,8377,479520,4795
1, 32x32,7191,18544,844631,8446
2, 48x48,12738,51486,1450920,14509
3, 64x64,20004,40394,2284456,22844
4, 80x80,29148,59896,3341316,33413
5, 96x96,40770,81803,4734086,47340
6, 112x112,55713,109449,6264932,62649
7, 128x128,75504,138367,8166674,81666
8, 144x144,91563,159815,10090691,100906
9, 160x160,111957,188658,12031322,120313
10, 176x176,134973,253885,14725620,147256
11, 192x192,160110,319177,17991359,179913
12, 208x208,186999,374400,21009840,210098
13, 224x224,216636,406320,24356804,243568
14, 240x240,247155,376840,27504324,275043
15, 256x256,280095,471222,31037866,310378
16, 272x272,315882,668620,34578506,345785
17, 288x288,352947,537935,37445536,374455
18, 304x304,392157,666846,41904020,419040
19, 320x320,433671,872407,47958336,479583
