N,Size,Min,Max,Sum,Average
0, 16x16,1567,1567,1567,1567
1, 32x32,6112,6112,6112,6112
2, 48x48,12503,12503,12503,12503
3, 64x64,20482,20482,20482,20482
4, 80x80,26388,26388,26388,26388
5, 96x96,45157,45157,45157,45157
6, 112x112,62185,62185,62185,62185
7, 128x128,83285,83285,83285,83285
8, 144x144,85639,85639,85639,85639
9, 160x160,126294,126294,126294,126294
10, 176x176,176397,176397,176397,176397
11, 192x192,197058,197058,197058,197058
12, 208x208,188742,188742,188742,188742
13, 224x224,208630,208630,208630,208630
14, 240x240,324900,324900,324900,324900
15, 256x256,282381,282381,282381,282381
16, 272x272,339346,339346,339346,339346
17, 288x288,314460,314460,314460,314460
18, 304x304,614018,614018,614018,614018
19, 320x320,531466,531466,531466,531466
