N,Size,Min,Max,Sum,Average,Implementation
100, 160x160,246185,637650,34422167,344221, asm1
100, 160x160,282067,729283,38860590,388605, asm1
100, 160x160,191276,525491,25976061,259760, asm2
100, 160x160,230833,958425,32782363,327823, asm2
