N,Size,Min,Max,Sum,Average
0, 16x16,2897,2897,2897,2897
1, 32x32,9515,9515,9515,9515
2, 48x48,28504,28504,28504,28504
3, 64x64,37040,37040,37040,37040
4, 80x80,69363,69363,69363,69363
5, 96x96,76991,76991,76991,76991
6, 112x112,104357,104357,104357,104357
7, 128x128,187421,187421,187421,187421
8, 144x144,249054,249054,249054,249054
9, 160x160,316300,316300,316300,316300
10, 176x176,274209,274209,274209,274209
11, 192x192,494615,494615,494615,494615
12, 208x208,546666,546666,546666,546666
13, 224x224,558536,558536,558536,558536
14, 240x240,867235,867235,867235,867235
15, 256x256,631970,631970,631970,631970
16, 272x272,661152,661152,661152,661152
17, 288x288,1032570,1032570,1032570,1032570
18, 304x304,1332370,1332370,1332370,1332370
19, 320x320,1333403,1333403,1333403,1333403
