N,Size,Min,Max,Sum,Average
0, 16x16,4373,47946,625981,6259
1, 32x32,9739,25059,1350095,13500
2, 48x48,19424,58617,2663955,26639
3, 64x64,31403,188583,4521443,45214
4, 80x80,47025,223772,6196306,61963
5, 96x96,66948,292604,9065314,90653
6, 112x112,89654,316864,12009318,120093
7, 128x128,116321,359774,15031299,150312
8, 144x144,146373,399925,19616896,196168
9, 160x160,180091,629950,24947015,249470
10, 176x176,216588,594428,26767667,267676
11, 192x192,258067,946035,34747702,347477
12, 208x208,302594,722121,40488095,404880
13, 224x224,350215,1071512,46533734,465337
14, 240x240,401488,836339,48595311,485953
15, 256x256,456030,1011950,59005769,590057
16, 272x272,514424,1024906,61724100,617241
17, 288x288,576388,1176804,67113386,671133
18, 304x304,641563,1197505,75953158,759531
19, 320x320,710336,1928433,85596015,855960
