N,Size,Min,Max,Sum,Average
0, 16x16,5812,15033,841848,8418
1, 32x32,12139,207641,1897540,18975
2, 48x48,22797,88044,3494363,34943
3, 64x64,37260,112396,5231059,52310
4, 80x80,56512,224339,8840259,88402
5, 96x96,87849,513806,13638284,136382
6, 112x112,108218,425790,16930985,169309
7, 128x128,141354,556140,20742751,207427
8, 144x144,180812,581209,26899628,268996
9, 160x160,231900,850136,34014336,340143
10, 176x176,263312,699958,37126495,371264
11, 192x192,309691,876966,45444509,454445
12, 208x208,379630,1110110,53351413,533514
13, 224x224,422360,1702312,62428605,624286
14, 240x240,486000,1167900,66343555,663435
15, 256x256,547782,2539392,81709763,817097
16, 272x272,624581,1733430,82990431,829904
17, 288x288,697506,2113703,97099569,970995
18, 304x304,797579,2920623,104465372,1044653
19, 320x320,875339,2316734,120550737,1205507
