N,Size,Min,Max,Sum,Average
0, 16x16,11292,178810,1533100,15331
1, 16x16,4037,33739,1328696,13286
2, 32x32,22386,103653,2563520,25635
3, 48x48,41751,86316,4549301,45493
4, 64x64,25200,279899,7555726,75557
5, 80x80,102993,384796,11087450,110874
6, 96x96,162356,423881,17291083,172910
7, 112x112,121918,473933,20303923,203039
8, 128x128,248226,921960,27511645,275116
9, 144x144,66531,703129,34539401,345394
10, 160x160,189213,704622,43254001,432540
11, 176x176,97107,879988,49475231,494752
12, 192x192,198112,849279,58747717,587477
13, 208x208,324943,1193498,71994426,719944
14, 224x224,122772,3113690,80715417,807154
15, 240x240,534907,2891768,94573813,945738
16, 256x256,549307,3144529,108461576,1084615
17, 272x272,377098,2923018,118118640,1181186
18, 288x288,179429,3485940,126738885,1267388
19, 304x304,254584,3939503,150119986,1501199
20, 320x320,489186,4189485,166051201,1660512
