N,Size,Min,Max,Sum,Average
0, 16x16,5633,21484,867460,8674
1, 32x32,12152,31816,1702780,17027
2, 48x48,22694,60275,3056216,30562
3, 64x64,37345,96358,4846923,48469
4, 80x80,56485,170772,7684900,76849
5, 96x96,87849,288344,12658892,126588
6, 112x112,106539,284008,14965738,149657
7, 128x128,140357,367150,19558134,195581
8, 144x144,177097,534800,25194126,251941
9, 160x160,231882,600775,33293457,332934
10, 176x176,262603,779500,38596252,385962
11, 192x192,309403,914330,42421721,424217
12, 208x208,378766,1225600,54731394,547313
13, 224x224,422194,1487790,59148510,591485
14, 240x240,485861,1365813,67260643,672606
15, 256x256,554351,1586942,78665128,786651
16, 272x272,625373,1738300,83947948,839479
17, 288x288,699130,1878666,91640860,916408
18, 304x304,797666,2131388,100710923,1007109
19, 320x320,875761,2423775,119983609,1199836
