N,Size,Min,Max,Sum,Average
0, 16x16,5809,17503,898744,8987
1, 32x32,13445,50780,1977224,19772
2, 48x48,27694,106180,4153330,41533
3, 64x64,45888,165269,6997246,69972
4, 80x80,68685,217508,9459394,94593
5, 96x96,107646,287433,15962106,159621
6, 112x112,130100,409741,18927298,189272
7, 128x128,168454,451975,22941871,229418
8, 144x144,215655,1883529,32384475,323844
9, 160x160,281388,728917,39993346,399933
10, 176x176,318206,832728,44551917,445519
11, 192x192,374660,1715980,53596061,535960
12, 208x208,464542,1212158,66472418,664724
13, 224x224,510288,1927552,74024296,740242
14, 240x240,583691,1515808,78568723,785687
15, 256x256,658578,1893080,94158904,941589
16, 272x272,746631,1928716,95691542,956915
17, 288x288,834400,2150720,105367380,1053673
18, 304x304,930676,2780919,123585346,1235853
19, 320x320,1030073,2166200,129511362,1295113
